gene_index	gene_id	is_ensembl
305	Cryge	False
306	Crygd	False
307	Crygc	False
308	Cryga	False
309	D630023F18Rik	False
310	Idh1	False
311	Pikfyve	False
312	Pth2r	False
313	Mtap2	False
314	Unc80	False
315	Rpe	False
316	1110028C15Rik	False
317	Acadl	False
318	Myl1	False
319	Lancl1	False
320	Cps1	False
321	Erbb4	False
322	Ikzf2	False
323	Spag16	False
324	Vwc2l	False
325	Bard1	False
326	Abca12	False
327	Atic	False
328	Fn1	False
329	Apol7d	False
330	Gm8883	False
331	4933417E11Rik	False
332	Mreg	False
333	Pecr	False
334	Tmem169	False
335	Xrcc5	False
336	March4	False
337	Smarcal1	False
338	Ankar	False
339	Rpl37a	False
340	Igfbp2	False
341	Igfbp5	False
342	Tnp1	False
343	Pinc	False
344	6030407O03Rik	False
345	Tns1	False
346	Rufy4	False
347	Cxcr2	False
348	Cxcr1	False
349	Arpc2	False
350	Gpbar1	False
351	Aamp	False
352	Pnkd	False
353	Tmbim1	False
354	Gm216	False
355	Slc11a1	False
356	Ctdsp1	False
357	Vil1	False
358	Usp37	False
359	Rqcd1	False
360	Plcd4	False
361	Zfp142	False
362	Bcs1l	False
363	Rnf25	False
364	Stk36	False
365	Ttll4	False
366	Cyp27a1	False
367	Prkag3	False
368	Wnt6	False
369	Wnt10a	False
370	Cdk5r2	False
371	Fev	False
372	Cryba2	False
373	Ccdc108	False
374	Ihh	False
375	Nhej1	False
376	Slc23a3	False
377	1810031K17Rik	False
378	Fam134a	False
379	Zfand2b	False
380	Abcb6	False
381	Atg9a	False
382	Ankzf1	False
383	Glb1l	False
384	Stk16	False
385	Tuba4a	False
386	A630095N17Rik	False
387	Dnajb2	False
388	Ptprn	False
389	Resp18	False
390	Dnpep	False
391	Des	False
392	Gm15179	False
393	Speg	False
394	Gmppa	False
395	Accn4	False
396	Chpf	False
397	Tmem198	False
398	Obsl1	False
399	Inha	False
400	Stk11ip	False
401	Slc4a3	False
402	Gm17751	False
403	Epha4	False
404	Pax3	False
405	Sgpp2	False
406	Farsb	False
407	Mogat1	False
408	Acsl3	False
409	Utp14b	False
410	Kcne4	False
411	Scg2	False
412	Ap1s3	False
413	Wdfy1	False
414	Mrpl44	False
415	Serpine2	False
416	Fam124b	False
417	Cul3	False
418	Dock10	False
419	9430031J16Rik	False
420	Irs1	False
421	Rhbdd1	False
422	Col4a4	False
423	Col4a3	False
424	Mff	False
425	Tm4sf20	False
426	Agfg1	False
427	Slc19a3	False
428	Ccl20	False
429	Wdr69	False
430	Sphkap	False
431	Pid1	False
432	Dner	False
433	Trip12	False
434	Fbxo36	False
435	Slc16a14	False
436	A530032D15Rik	False
437	Gm7609	False
438	C130026I21Rik	False
439	Sp110	False
440	Sp140	False
441	Sp100	False
442	A630001G21Rik	False
443	Cab39	False
444	Itm2c	False
445	4933407L21Rik	False
446	Gpr55	False
447	Spata3	False
448	2810459M11Rik	False
449	Psmd1	False
450	Htr2b	False
451	Armc9	False
452	B3gnt7	False
453	Ncl	False
454	Snora75	False
455	C130036L24Rik	False
456	Nmur1	False
457	1700019O17Rik	False
458	Ptma	False
459	Pde6d	False
460	Cops7b	False
461	Nppc	False
462	Dis3l2	False
463	Alppl2	False
464	Alpi	False
465	Ecel1	False
466	Prss56	False
467	Chrnd	False
468	Chrng	False
469	Eif4e2	False
470	Efhd1	False
471	Gigyf2	False
472	Kcnj13	False
473	3110079O15Rik	False
474	Ngef	False
475	Neu2	False
476	Inpp5d	False
477	Atg16l1	False
478	Sag	False
479	Dgkd	False
480	Usp40	False
481	Ugt1a10	False
482	Ugt1a9	False
483	Ugt1a7c	False
484	Ugt1a6b	False
485	Ugt1a6a	False
486	Ugt1a5	False
487	Ugt1a2	False
488	Dnajb3	False
489	Ugt1a1	False
490	Heatr7b1	False
491	Hjurp	False
492	6430706D22Rik	False
493	A730008H23Rik	False
494	Trpm8	False
495	Spp2	False
496	Glrp1	False
