dataset	source_url	accession	download_date	file_name	size_bytes	sha256	license	用途
pbmc3k	https://www.10xgenomics.com/datasets/3-k-pbm-cs-from-a-healthy-donor-1-standard-1-0-0	—	2026-07-29	pbmc3k_raw.h5ad	21547812	0a485d8cd25151db0d6c24d4e051372b4ceba32fb409dd112754aac1f40bb2c0	CC BY 4.0	原始 count 矩阵，作为全流程输入
tabula-muris-senis-droplet-processed-official-annotations-Fat	https://figshare.com/ndownloader/files/23872715	23872715	2026-07-30	tabula-muris-senis-droplet-processed-official-annotations-Fat.h5ad	286898922	c5177735dd98260ccd1ff327f5a2b4cafefbfba69fcfc9ce60f7347a1d98f0e0	MIT	脂肪组织原始数据
tabula-muris-senis-droplet-processed-official-annotations-Heart_and_Aorta	https://figshare.com/ndownloader/files/23872799	23872799	2026-07-30	tabula-muris-senis-droplet-processed-official-annotations-Heart_and_Aorta.h5ad	335138122	d3231fceeeded62217d4613eac31ce552034007bded5149251216bd5891faec4	MIT	心脏和主动脉组织原始数据
tabula-muris-senis-droplet-processed-official-annotations-Kidney	https://figshare.com/ndownloader/files/23873024	23873024	2026-07-30	tabula-muris-senis-droplet-processed-official-annotations-Kidney.h5ad	776671418	00dca7032352209f64cd978eadccf60697bd1bf1a9cb0b0eecd6829225c61895	MIT	肾脏组织原始数据
tabula-muris-senis-droplet-processed-official-annotations-Liver	https://figshare.com/ndownloader/files/23872763	23872763	2026-07-30	tabula-muris-senis-droplet-processed-official-annotations-Liver.h5ad	308116386	08fbfcc66d447de7543380076b24dc05b49dbcd46fd8128a74b265b059c85ce2	MIT	肝脏组织原始数据
tabula-muris-senis-droplet-processed-official-annotations-Lung	https://figshare.com/ndownloader/files/23873012	23873012	2026-07-30	tabula-muris-senis-droplet-processed-official-annotations-Lung.h5ad	679944698	b1be4a874d43a1dcebe8949f173df888feee6830f640f348a024e9f25b2ad61a	MIT	肺组织原始数据
tabula-muris-senis-droplet-processed-official-annotations-Marrow	https://figshare.com/ndownloader/files/23873090	23873090	2026-07-30	tabula-muris-senis-droplet-processed-official-annotations-Marrow.h5ad	1284113378	24d465a62f092111c45219d16a49f895e1d2a88c4c3fe4b9cdca57d7af288c2e	MIT	骨髓组织原始数据
tabula-muris-senis-droplet-processed-official-annotations-Spleen	https://figshare.com/ndownloader/files/23873054	23873054	2026-07-30	tabula-muris-senis-droplet-processed-official-annotations-Spleen.h5ad	950304098	6c75eacbc4545a3f4f82e1a65fcc53312473dfaa63d2a69d57d1ad13dd8ac801	MIT	脾脏组织原始数据
